,doc_id,doc_title,book_link,generic_authors,coventry_authors,abstract,published_on,keywords
book_64,book_64,Corruption and bank efficiency: Expanding the ‘sand or grease the wheel hypothesis’ for the Gulf Cooperation Council,https://pureportal.coventry.ac.uk/en/publications/corruption-and-bank-efficiency-expanding-the-sand-or-grease-the-w,"['Mohammad Kabir Hassan', ' Rashedul Hasan', ' Mohammad Dulal Miah', ' Muhammad Ashfaq']",{'Rashedul Hasan': 'https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'},"We draw upon the broader theoretical framework of rent-seeking to empirically analyze the impact of corruption on the efficiency of the banking industry in the Gulf Cooperation Council. We have used various databases, including Bankscope, World Bank, and Transparency International, to gather Bank-specific and macro-economic data for 77 banks covering the period 2005–2014. We perform ordinary least square (OLS) and generalised methods of moments regression (GMM) using a balanced panel and find (1) Islamic banks as less efficient and stable as compared to conventional banks in the GCC region, (2) corruption has a negative (positive) impact on Islamic (conventional) banks' stability. Our findings provide support for the ‘sand the wheel’ hypothesis of corruption for Islamic banks. This finding supports the view that under the current weak governance structures and complex policy framework, corruption acts as an ‘escape hatch’ for conventional banks. Our empirical findings could pave the way for further policy reform for the banking sector in the GCC region.",10 Aug 2021,"['corruption', 'Bank', 'Efficiency', 'GCC Countries', 'Islamic banks', 'efficiency', 'rent-seeking', 'GCC countries']"
book_65,book_65,Corruption and its diverse effect on credit risk: global evidence,https://pureportal.coventry.ac.uk/en/publications/corruption-and-its-diverse-effect-on-credit-risk-global-evidence,"['Rashedul Hasan', ' Muhammad Ashfaq']",{'Rashedul Hasan': 'https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'},"Corruption has a complex relationship with economic growth. We have explored the impact of corruption on credit risk from a global perspective. The sample consists of 178 countries and covers 18 years that range from 2000 to 2017. Non-performing loan (NPL) is used as a proxy for credit risk and data regarding NPL is collected from the World Bank Database. Corruption scores are collected from the Transparency International reports. Panel regression results provide a positive association between corruption and credit risk for the global sample. Generalized Methods of Moments (GMM) regression and robustness tests validate the findings. However, sub-sample analysis provides support for “grease the wheel” hypothesis for high corruption countries and indicate that corruption is beneficial in a weak form of governance and excessive regulatory pressure. This study advocate for the importance of strong governance mechanisms in high corruption countries that can minimize the impact of corruption on banking sector profitability and ensure economic development. Unlike past literature, we provide global evidence on the association between corruption and credit risk for the banking sector which allows generalizability.",21 Apr 2021,"['Corruption', 'Credit risk', 'banks', 'Bureaucracy', 'governance', 'corporate finance']"
book_66,book_66,CSR Implication and Disclosure in Higher Education: Uncovered Points. Results from a Systematic Literature Review and Agenda for Future Research,https://pureportal.coventry.ac.uk/en/publications/csr-implication-and-disclosure-in-higher-education-uncovered-poin,"['Mahalaxmi Adhikari Parajuli', ' Abeer Hassan', ' Benedetta Siboni']",{},"This research reviews and analyzes prior corporate social responsibility (CSR) studies centered on its implications and disclosure in higher education institutions (HEIs). Nine major databases were analyzed to review research articles from various business, management, higher education, and accounting journals for the period of 2004–2020. We follow the seven-step systematic review guidelines developed by Fink 2019 and we base our review analysis on fifty-eight journal articles. The systematic literature review results show a significant increase in the number of CSR article publications and the extent and trend of disclosure. The majority of prior research was based on questionnaires to evaluate the HEIs curriculum and focus on the CSR implication process. However, HEIs are still lagging behind in CSR implication and disclosure, and with a long way to go to obtain sustainability goals. From the study, several opportunities for future research emerged. This study can be useful for HEIs policymakers and practitioners to access the usefulness of CSR implications and disclosures in HEIs. In addition, this analysis assists scholars to explore in-depth the uncovered points related to CSR in HEIs context. This is the first systematic review of CSR implications and disclosures that comprehensively covers higher education institutions as a sector and presents a reference for academic literature from 2004 to 2020.",7 Jan 2021,"['Corporate social responsibility (CSR)', 'Higher Education Institutions (HEIs).', 'Systematic Literature Review', 'sustainability disclosure', 'Sustainability', 'Higher education institutions (HEIs)', 'Disclosure', 'Systematic literature review']"
book_67,book_67,Does shared tenure between audit committee chair and engagement partner affect audit outcomes? Evidence from the UK,https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p,"['Salem Alhababsah', ' Alaa Alhaj Ismail']","{'Salem Alhababsah': 'https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah', 'Alaa Alhaj Ismail': 'https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail'}","Social psychology literature suggests that shared working experience between individuals affects the way in which they communicate, interact and exchange information. Given that the relationship between audit committee (AC) and engagement partner (EP) involves extensive interactions and information sharing with the aim to protect the integrity of financial statements, this study examines whether the co-tenure relationship between the person who leads the AC (audit committee chair (ACC)) and EP affects audit outcomes. Using 234 UK non-financial companies, we find that longer co-tenure between ACC and EP improves accruals quality and reduces the propensity to meet or beat the earnings benchmark. Moreover, we do not find a significant relationship between ACC–EP shared tenure and audit fees, alleviating the concern that ACC–EP shared tenure could lead to collusion or inappropriate favoritism towards the EP regarding audit fees. Our findings offer a valuable contribution to the literature, practice, and regulators.",8 Nov 2021,"['Audit committee chair', 'Audit fees', 'Audit quality', 'Engagement partner', 'Shared tenure']"
book_68,book_68,Do Islamic Stock Indices Perform Better Than Their Conventional Counterparts?,https://pureportal.coventry.ac.uk/en/publications/do-islamic-stock-indices-perform-better-than-their-conventional-c,"['Abdelbari Khamlichi ', ' Selim Baha  Yildiz', ' Sarkar Kabir', ' Hafiz  Hoque']",{'Sarkar Kabir': 'https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir'},"Applying the preference ranking organisation method for enrichment of evaluations (PROMETHEE II), this study attempts to rank Islamic and conventional indices from 20 developed and 18 emerging markets based on the performance of their MSCI conventional and Islamic country indices between 2002 and 2016. The study finds that the Danish Islamic Index at the top of the ranking and the Hungarian Islamic Index at the bottom. Moreover, conventional indices predominantly perform better than their Islamic counterparts in emerging markets and vice versa in developed markets.",2021,"['Decision making', 'Equity indices', 'Islamic finance', 'PROMETHEE II', 'Performance measurement', 'Portfolio management', 'Ranking', 'Screening']"
book_69,book_69,Drifts in Governance: Evidence from the management of COVID-19 in China,https://pureportal.coventry.ac.uk/en/publications/drifts-in-governance-evidence-from-the-management-of-covid-19-in-,"['Junyuan Chen', ' Yuheng Wang', ' Danture Wickramasinghe']",{'Junyuan Chen': 'https://pureportal.coventry.ac.uk/en/persons/junyuan-chen'},,2021,"['Governance', 'COVID-19', 'Foucault']"
book_70,book_70,"Equity return predictability, its determinants, and profitable trading strategies",https://pureportal.coventry.ac.uk/en/publications/equity-return-predictability-its-determinants-and-profitable-trad,"['Md Lutfur Rahman', ' Mahbub Khan', ' Samuel A Vigne', ' Gazi Salah Uddin']",{'Mahbub Khan': 'https://pureportal.coventry.ac.uk/en/persons/mahbub-khan'},"This paper explains cross‐market variations in the degree of return predictability using the extreme bounds analysis (EBA). The EBA addresses model uncertainty in identifying robust determinant(s) of cross‐sectional return predictability. Additionally, the paper develops two profitable trading strategies based on return predictability evidence. The result reveals that among the 13 determinants of the cross‐sectional variation of return predictability, only value of stock traded (a measure of liquidity) is found to have robust explanatory power by Leamer's (1985) EBA. However, Sala‐i‐Martin's (1997) EBA reports that value of stock traded, gross domestic product (GDP) per capita, level of information and communication technology (ICT) development, governance quality, and corruption perception are robust determinants. We further find that a strategy of buying (selling) aggregate market portfolios of the countries with the highest positive (negative) return predictability statistic in the past 24 months generates statistically significant positive returns in the subsequent 3 to 12 months. In the individual country level, a trading rule of buying (selling) the respective country's aggregate market portfolio, when the return predictability statistic turns out positive (negative), outperforms the conventional buy‐and‐hold strategy for many countries.",Jan 2021,"['Extreme bounds analysis', 'Fifty equity markets', 'Return predictability', 'Trading strategies', 'Modeling and Simulation', 'Management Science and Operations Research', 'Computer Science Applications', 'Strategy and Management', 'Statistics, Probability and Uncertainty']"
book_71,book_71,ESG practices and the cost of debt: Evidence from EU countries,https://pureportal.coventry.ac.uk/en/publications/esg-practices-and-the-cost-of-debt-evidence-from-eu-countries,"['Yasser Eliwa', ' Ahmed Aboud', ' Ahmed Saleh']",{'Ahmed Saleh': 'https://pureportal.coventry.ac.uk/en/persons/ahmed-saleh'},"Using legitimacy and institutional theories, this study investigates whether lending institutions reward firms in 15 EU countries for their environmental, social and governance (ESG) performance and disclosure in terms of lowering their cost of debt capital. Our study distinguishes between ESG performance that is used to indicate an effective commitment to ESG strategies, and ESG disclosure that represents an effort to construct an image of commitment designed to positively influence stakeholders’ perceptions. Supporting a version of legitimacy theory, we find that lending institutions value both ESG performance and disclosure and integrate ESG information in their credit decisions – in that firms with stronger ESG performance have a lower cost of debt, and ESG disclosure has an equal impact on the cost of debt as ESG performance. Although these findings suggest that the market (in context) can engender more desirable social outcomes by rewarding ESG practices, it fails to distinguish between ESG performance and disclosure (which may be contrasted as the more substantive and the more symbolic). Moreover, our results also reflect upon the importance of the role that civil society and the state play in addressing and exploring the limitations of free-market regimes. Specifically, we provide evidence that the impact of ESG performance and disclosure on the cost of debt is more dominant in the stakeholder-oriented countries (where the community is more prevalent). Our main findings are robust to a battery of sensitivity tests, including an alternative measure of the cost of debt, model specifications, and different approaches to address endogeneity. We acknowledge limitations in our research method but point nevertheless to its value in supporting a critical perspective and make suggestions for future research.",Sep 2021,"['ESG performance', 'ESG disclosure', 'The cost of debt', 'Credit ratings', 'EU']"
book_72,book_72,Evaluating Drivers of Fintech Adoption in the Netherlands,https://pureportal.coventry.ac.uk/en/publications/evaluating-drivers-of-fintech-adoption-in-the-netherlands,"['Rashedul Hasan', ' Muhammad Ashfaq', ' Lingli Shao']",{'Rashedul Hasan': 'https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'},"The development of smartphones and mobile internet technologies has promoted the development of mobile payments worldwide. The core purpose of this study is to ascertain what the main factors are which affect Dutch customers’ adoption and experience of mobile payments. This study first addresses the concepts of mobile payments and customer experience and then explores the current Dutch financial and banking systems, before attempting to understand the recent researches worldwide on mobile payments. Based on quantitative research methods, the study examines the factors that influence the adoption and experience of mobile payments and the impacts of the COVID-19 outbreak on payment methods due to social distancing rules in the Netherlands. It finds that perceived ease of use, perceived usefulness, safety and trust are the main factors that affect the adoption of mobile payments, and mobile-payment providers need to improve technical protection and offer some benefits to boost the mobile-payment business. The COVID-19 outbreak has caused the decline of cash payments and the increase of contactless payments in the Netherlands; mobile payments ensure people’s health and help slow down the spread of the virus.",30 Aug 2021,"['COVID-19', 'Fintech', 'mobile payments', 'risk', 'technology acceptance', 'trust']"
book_73,book_73,Financial decisions and market performance in Chinese mergers and acquisitions,https://pureportal.coventry.ac.uk/en/publications/financial-decisions-and-market-performance-in-chinese-mergers-and,['Christopher Muganhu'],{},"We examine merger and acquisition (M&A) financing decisions of Chinese acquirers in the 2003-2017 period. Applying the sequential logit regression, we find that the threat of change in control structure, dilution of voting power, financial condition, and growth opportunities have a huge bearing on the acquirer’s financing decision. We find that after a decision has been made to pay for the M&A using cash, a large acquirer with growth opportunities and single controlling shareholder use internally generated funds relative to debt financing. An overvalued acquirer with huge cash reserves prefers to use debt financing. Relative to stock financing, a large acquirer with growth opportunities acquiring large targets prefers to use internally generated funds while a mature acquirer with huge cash reserves prefers stock financing relative to cash financing. We also find that markets react differently to various sources of financing acquisitions upon announcements. For pure cash transactions, stock financing has the highest returns and debt financing second with cash recording the lowest returns. The study demonstrates that the source of cash plays a significant role in influencing corporate managers financing decisions and market perceptions.",25 Aug 2021,"['China', 'financing decision', 'mergers and acquisitions', 'market valuation', 'method of payment']"
book_74,book_74,Financial Inclusion,https://pureportal.coventry.ac.uk/en/publications/financial-inclusion,['Nikhil Sapre'],{'Nikhil Sapre': 'https://pureportal.coventry.ac.uk/en/persons/nikhil-sapre'},"Financial exclusion is a global issue but differs across different countries: in low-income countries, the key focus is lack of access to basic banking and payment services; in higher-income countries, the focus is more on access to credit, savings, insurance and financial advice.",2021,['No keywords']
book_75,book_75,"Financial inclusion, corporate social responsibility and firm performance – analysis of interactive relationship",https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-corporate-social-responsibility-and-firm-perf,"['Asit Bhattacharyya', ' Mahbub Khan']",{'Mahbub Khan': 'https://pureportal.coventry.ac.uk/en/persons/mahbub-khan'},"Purpose: Prior studies on corporate social responsibility (CSR) and performance have frequently used unidirectional, single-equation regression although the literature recommends the reciprocal association of CSR with firm performance. This paper aims to elucidate the interactive relationship of CSR spending with financial inclusion (FI) and firm performance. The study also explores the moderating impact of the level of FI on the CSR-firm performance relationship. Design/methodology/approach: This study uses a simultaneous equations model to capture the FI, CSR and firm performance relationships and apply a three-stage regression approach and generalised method of moments approach to address possible endogeneity. Findings: The results confirm a positive association of CSR spending with performance but a negative relationship of FI with performance. This paper also finds that FI negatively moderates the CSR spending-performance relationship. Practical implications: The positive impact of CSR spending and the negative impact of FI on performance in mandatory CSR regimes provides valuable input in policy formulation. The results of the study will also be useful to national and international organisations, such as the International Monetary Fund and the World Bank. Originality/value: This study uses a simultaneous equations model to capture the reciprocal association of CSR spending with firm performance, whereas prior studies on CSR and performance have frequently used unidirectional, single-equation regression. This paper also finds that FI negatively moderates the CSR spending- performance relationship. Including FI and exploring the moderating impact of the level of FI on the CSR-firm performance relationship is novel.",30 Nov 2021,"['Corporate governance', 'Corporate social responsibility', 'CSR expenditure', 'Financial inclusion', 'Financial management', 'Firm performance', 'Quantitative research', 'Simultaneous equation']"
book_76,book_76,Finding our place in the world with the Sustainable Development Goals,https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,"['Caroline Wilson', ' Jaliyyah Bello', ' Luda Ruddock']","{'Jaliyyah Bello': 'https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello', 'Luda Ruddock': 'https://pureportal.coventry.ac.uk/en/persons/luda-ruddock'}","Coventry University Group’s decision to embed the Sustainable Development Goals (SDGs) into courses alongside other themes offers a different approach. It means we can help students identify the synergies between the SDGs and a range of other topics and issues, and deliver learning that enables creative, credible and authentic solution-finding from tomorrow’s community and professional leaders. Our approach is also to challenge both students and staff to think big, recognising that at this point only deep transformational changes which achieve SDGs in parallel rather than individually are likely to deliver the goals.  The session includes the approach we have taken, how it broadens and deepens students’ learning experience, and also the challenges we have experienced. The goal is to share both lessons learned and ideas from delegates about alternative ways forward.",18 Feb 2021,"['Sustainable Development Goals (SDGs)', 'curriculum change', 'Teaching and learning']"
book_77,book_77,"Fintech frontiers in quantum computing, fractals, and blockchain distributed ledger: Paradigm shifts and open innovation",https://pureportal.coventry.ac.uk/en/publications/fintech-frontiers-in-quantum-computing-fractals-and-blockchain-di,"['Narcisa Roxana Moşteanu', ' Alessio Faccia']",{},"Among the hot research topics, Fintech is leading the trend in terms of the newest technology applications. The relatively new emerging paradigms in various sciences, such as geometry (fractals), physics (quantum), and database systems (distributed ledger—blockchain), seem to potentially contribute to a greater shift in the framework of the finance industry, bringing also some concerns (cyber-threats). Consistent and extensive investigation of the reasonable potential impact of these new models (and their underlying technologies) is performed, and then tested through a SWOT analysis, as the main objective of this research. Threats and opportunities are always intrinsically driven by the introduction of technological advancements (revolutions). This research confirms that information availability and the increasing interconnection of crosswise applications of each discovery to the different fields of science is determining the rapid succession of revolutions identified by evident large shifts in economic paradigms. The growing computing capacity and the development of increasingly powerful predictive software are leading to a competitive, extremely dynamic, and challenging system. In this context, as shown by history, there is a high possibility of market concentration in which, however, only a few corporations—digital giants—can afford to develop these technologies, consolidating their dominance.",7 Jan 2021,"['Blockchain', 'Cybersecurity', 'Financial markets', 'Fintech', 'Fractal geometry', 'Quantum computing']"
book_78,book_78,"Firms cash management, adjustment cost and its impact on firms’ speed of adjustment-A cross country analysis",https://pureportal.coventry.ac.uk/en/publications/firms-cash-management-adjustment-cost-and-its-impact-on-firms-spe,"['Qazi Awais Amin', ' Tom Williamson']",{},"We investigate the firms’ specific attributes that determine the difference in speed of adjustment (SOA) towards the cash holdings target in the Scandinavian countries: Denmark, Norway and Sweden. We examine whether Scandinavian firms maintain an optimal level of cash holdings and determine if the active cash holdings management is associated with the firms’ higher SOA and lower adjustment costs. Our findings substantiate that a higher level of off-target cost induces professional managers to rebalance their cash level towards the optimal balance of cash holdings. Our results reveal that Scandinavian firms accelerate SOA towards cash targets primarily for the precautionary motive. Moreover, our results show that SOA is heterogeneous across Scandinavian firms based on adjustment cost and deviate cash holdings towards the target mainly with the support of internal financing. Furthermore, our empirical findings show that the SOA of Norwegian firms is significantly higher than the Danish and Swedish firms.",Jan 2021,"['Cash holdings', 'GMM', 'Scandinavian countries', 'Speed of adjustment', 'Trade-off theory']"
book_79,book_79,Foreign Ownership and Productivity in Chinese Newly Listed Firms: The Moderating Roles of Founder’s Human Capital and Social Ties,https://pureportal.coventry.ac.uk/en/publications/foreign-ownership-and-productivity-in-chinese-newly-listed-firms-,"['Da Teng', ' Chengchun Li', ' Sailesh Tanna']",{'Sailesh Tanna': 'https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna'},"This paper studies the effects of foreign ownership on firm-level productivity and examines the different moderating roles of the firm-founder’s human capital and social ties on the foreign ownership - productivity link. Leveraging a unique sample of 428 small and medium-sized firms listed on the Growth Enterprise Market in the Shenzhen Stock Exchange between 2009 and 2016, we find that the foreign ownership’s contribution to productivity is not linear and varies across different quantiles of the productivity distribution. Our findings also show that the founder’s education and foreign experience strengthen the foreign ownership - productivity link, while the founder’s political and managerial ties weaken it. Our results reveal the strategic importance of the founder and contribute to an improved understanding of why firms vary in their ability to enhance productivity in emerging economies.",26 Feb 2021,"['Foreign ownership', 'Founder', 'Human capital', 'Productivity', 'Social ties']"
book_80,book_80,French Indochina War: Reflections for strategic resilience,https://pureportal.coventry.ac.uk/en/publications/french-indochina-war-reflections-for-strategic-resilience,['Simon Huston'],{'Simon Huston': 'https://pureportal.coventry.ac.uk/en/persons/simon-huston'},"Military mistakes impel strategic reflection. The French Indochina War (FIW) from 1946-1954 furnishes useful insights with some resonance for current challenges. A combination of pre-exiting conditions, catalysts and operational drivers caused the cathartic 1954 French defeat. Pre-conditions included the illegitimacy of the colonial regime, repression that polarised nationalist sentiment. Economically, pernicious terms of trade suppressed industrialisation but oiled speculation until suddenly reversed by devaluation in 1953 that reflected financial disengagement by France but increased American involvement. Vacillating metropolitan and the dubious colonial regime of the ‘night club’ Emperor, Bảo Đại, fuelled political instability. Militarily, after the disastrous evacuation of the RC4 in 1950, Việt Minh men and supplies poured across the Chinese frontier. In 1954, financial constraints and the looming international peace conference catalysed Navarre, the new French commander, to gamble on a battle of attrition. He bet that the Việt Minh would be unable drag artillery to the remote jungle outpost of Diên Biên Phú, but he underestimated their determination, strength, and adaptability. In early December partisans resented the bungled evacuation of Lai Châu. The entrenched camp’s defences were inadequate and neither infantry sorties nor napalm suppressed VM artillery in the surrounding hills. The French aero-logistical sub-system was overstretched, and significant parachute supplies fell into enemy hands. Navarre scattered his reserves on a futile and remote side show, Operation Atlante. The Americans prevaricated and refused to unleash their B29 fleet. ‘Iacta alea est’ - the die was cast.",7 Aug 2021,"['Indochina', 'Colonial legacies', 'Colonialism', 'Strategic Agility', 'Strategic analysis', 'Foreign Policy', 'Dien Bien Phu', 'Route Colonial 4', 'Vietnam', 'Logistics operations', 'Intelligence Studies', 'Paratroops', 'indigenous peoples', 'land grabbing', 'deforestation', 'Sustainable development']"
book_81,book_81,Global trends in board diversity research: a bibliometric view,https://pureportal.coventry.ac.uk/en/publications/global-trends-in-board-diversity-research-a-bibliometric-view,"['Saleh F.A. Khatib', ' Dewi Fariha Abdullah', ' Ahmed Elamer', ' Ibrahim Suleiman Yahaya', ' Andrews Owusu']",{},"Purpose: This study aims to identify the main research development on board diversity and offers a quantitative synopsis of key themes and contributors, knowledge gaps and provides directions for further work. Design/methodology/approach: Using a bibliometric analysis, the authors assess the patterns in global board diversity research based on co-occurrences of researchers’ keywords and publication outputs of 991 articles from the Scopus database. Also, the co-citation network analysis was performed to assess the intellectual structure of board diversity research. Findings: According to the keyword analysis, the authors found that researchers focus on the gender diversity of the boardroom while ignoring the cognitive diversity and other aspects of demographic diversity such as educational, ethnic, age, nationality, experience, background and tenure, pointing to the need for further work to consider other diversity attributes and the interaction between them. Additionally, board diversity research related to (but not limited to) payout policy, cash holding, initial public offerings, small–medium enterprises and financial institutions is limited. Originality/value: This study provides a comprehensive evaluation of the development of board diversity research (using a large archival database) and identifies the common construct as well as the potential opportunities for future research directions.",23 Nov 2021,"['Bibliometric literature review', 'Board composition', 'Board diversity', 'Corporate governance', 'Gender diversity']"
book_82,book_82,Government accounting reforms in Sub-Saharan African countries and the selective ignorance of the epistemic community: A competing logics perspective,https://pureportal.coventry.ac.uk/en/publications/government-accounting-reforms-in-sub-saharan-african-countries-an-2,"['Kelum Nishanta jayasinghe Jayasinghe', ' Andy Wynne', ' Pawan Adhikari', ' Teerooven Soobaroyen', ' John Malagila', ' Abdurafiu Noah']",{'Abdurafiu Noah': 'https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah'},"The objective of this paper is two-fold. First, it assesses existing local accounting and financial reporting practices in Sub-Saharan Africa (SSA), focusing on the extent to which recent government financial statements published by ten selected countries adhere to mainstream qualitative features of public sector reporting. Second, it investigates the multiple institutional logics at play in the context of government accounting reforms (GARs) in SSA, involving international organisations, epistemic community members, policy makers and local actors. Data for the study are drawn from a content analysis and disclosure scoring of ten SSA government financial statements, supplemented by forty semi-structured interviews carried out in Nigeria and Tanzania. Our findings demonstrate how the generalised assumptive logics of international organisations, coupled with the market and professional logics of epistemic community members and state logics of local politicians, have led to the marginalisation of ‘good’ existing accounting and financial reporting practice in SSA (as reflected by the extent to which government financial statements adhere to mainstream features of public sector reporting) - while providing the countries with a strong impetus for undertaking a transition towards large-scale GARs involving accrual accounting and IPSASs. The role of the epistemic community in selectively ignoring the positive aspects of local accounting practice is a significant impediment. In this way, members of this epistemic community continue to execute their ‘relational power’ generated through professional knowledge, expertise and elite connections over the local actors, hence upholding the generalised assumptive logics. The paper argues that public accountability and transparency can be strengthened in SSA countries provided there is an ‘intelligent’ application of existing regulations and accounting systems, rather than seeking to merely replace them with externally imposed large-scale GARs.",Jul 2021,"['Epistemic community', 'Government accounting reforms', 'Institutional logics', 'Sub-Sahara Africa']"
book_83,book_83,Growth Effects of Remittance: A Case of Turkey Diaspora,https://pureportal.coventry.ac.uk/en/publications/growth-effects-of-remittance-a-case-of-turkey-diaspora,"['Caterina De Lucia', ' Luigi Pio Leonardo Cavaliere', ' Ester Salvato', ' Alessio Faccia']",{},"In the age of globalization, remittances are an essential part of human life. This analysis's key objective is to examine the effect of remittances in developing economies like Turkey on economic development. The 1980 to 2020 time-series data used in this analysis which use numerous time series estimating techniques. Sending data is given by the Banks of Turkey and in a million dollars. Simultaneously, economic development or GDP data are provided by world economic indicator, the World Bank, and the new US dollar. The findings indicated that there are both short-term and long-term ties between transactions and economic development in Turkey. Therefore, results indicate that Turkey's transition flows positively affect Turkey's person and Turkey's macroeconomic scenario. The government should implement policies that allow Turkey in overseas countries to submit transmissions through official channels.",12 Feb 2021,"['Economic growth', 'Remittances', 'Autoregressive Distributed Lag analysis']"
book_84,book_84,Impact of Maoism on the urban form and structure of cities in mainland China,https://pureportal.coventry.ac.uk/en/publications/impact-of-maoism-on-the-urban-form-and-structure-of-cities-in-mai,"['Marek Kozlowski', ' Simon Huston']",{'Simon Huston': 'https://pureportal.coventry.ac.uk/en/persons/simon-huston'},"Evolution of a Socialist City (the Soviet model)Planned cities with emphasis on working class neighbourhoods and industries. Rejection of a capitalist urban structureUrban form: rejection of decorations, promotion of minimal modernism (constructivism, development of social realism, prefabricated residential block)Evolution of a Chinese City• Early traditional urban form AD 202-618• Late traditional urban form AD 618-907• China’s medieval urban revolution AD907-1368• Cities of the late imperial period (1368-1911) –transition from ‘empire ofvillages to empire of cities’ –theprinciples of feng shui• The treaty port era (1842-1949)• The Maoist city (1949-1979)• The contemporary city post 197",7 May 2021,"['Urban form', 'Cities', 'China', 'Planning', 'Political Sociology and the State']"
book_85,book_85,Internal corporate governance mechanisms and financial performance: evidence from the UKs top FTSE 100 listed companies,https://pureportal.coventry.ac.uk/en/publications/internal-corporate-governance-mechanisms-and-financial-performanc,"['Ibrahim Elmghaamez', ' Eritobi Akintoye']",{'Ibrahim Elmghaamez': 'https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'},"This paper examines the relationship between internal corporate governance mechanisms and the financial performance of the UKs top FTSE 100 firms listed on the London Stock Exchange. By using a sample of 59 firms from the top FTSE 100 firms over the period from 2013 to 2018, our findings demonstrated that the lower number of board size and independent directors on the board, the better financial performance of the UKs top FTSE 100 listed firms. However, our study revealed that better financial performance is positively correlated with greater proportion of women on boards. Additionally, we found that board meeting is insignificantly associated with the financial performance of listed firms. This study has important implications for policy makers in the UK to have more women on boards and to decrease board size and the number of independent directors to the optimal size, since there is no one size fits all firms.",2 Apr 2021,"['corporate governance mechanisms;', 'financial performance', 'board size', 'board meeting', 'board independence', 'women on boards', 'UK']"
book_86,book_86,Islamic microfinance: A bibliometric review,https://pureportal.coventry.ac.uk/en/publications/islamic-microfinance-a-bibliometric-review,"['M. Kabir Hassan', ' Muneer M. Alshater', ' Rashedul Hasan', ' Abul Bashar  Bhuiyan']",{'Rashedul Hasan': 'https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'},"This paper quantitatively analyzes the literature on Islamic microfinance from early 2000 to 2020, as represented by English-language articles from the Scopus database. Using a bibliometric approach plus content analysis, we describe the field's evolution and structure, including co-citation, co-authorship, and bibliographical coupling. We find that Malaysia is the most relevant country, the International Islamic University Malaysia (IIUM) the most relevant institution, and the International Journal of Systems and Ethics the most relevant journal. There are four main topics: (1) principles, performance, and problems in Islamic microfinance, (2) sustainable development, (3) women's empowerment, and (4) the role of banks. We also offer future research directions.",Aug 2021,"['Microfinance', 'Islamic microfinance', 'Bibliometric', 'Microcredit', 'Poverty alleviation']"
book_87,book_87,Liquidity and Short-Run Predictability: Evidence from International Stock Markets  ,https://pureportal.coventry.ac.uk/en/publications/liquidity-and-short-run-predictability-evidence-from-internationa,"['Jin Suk Park', ' Mohammad Khaleq Newaz']","{'Jin Suk Park': 'https://pureportal.coventry.ac.uk/en/persons/jin-suk-park', 'Mohammad Khaleq Newaz': 'https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz'}","This study investigates the determinants of short-run predictability in international stock markets, where predictability is defined as the accuracy of the best-combined daily forecasts. Contrary to popular belief, illiquid markets, characterized by high transaction costs and large price impact, are not necessarily highly predictable. Instead, markets with larger trading volume are more predictable, especially after the global financial crisis and in emerging markets. Those with larger market capitalization, steeper upward trends, and positively skewed returns are less predictable. Company financial strength has limited influence. During the COVID-19 pandemic the markets have become more predictable, with stronger price trends. Emerging markets are less predictable when relatively over- or undervalued.",Nov 2021,"['COVID-19', 'Forecasting accuracy', 'Market efficiency', 'Price impact', 'Transaction costs']"
